"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"BT1,BT2,BT3";"BatteryHolder_Keystone_2460_1xAANO_HOLES";3;"2460";;;
2;"R2,R1";"R-0805";2;"330";;;
3;"D2";"LED_0805_Red";1;"RED";;;
4;"U2";"SILSMART_DISPLAY";1;"SILSMART_DISPLAY";;;
5;"SW5";"ON_OFF_SW_JS202011SCQN";1;"JS202011SCQN";;;
6;"SW1,SW2,SW3,SW4";"PTS815_button";4;"PTS815 SJM 250 SMTR LFS";;;
7;"FID3,FID2,FID1,FID5,FID6,FID4";"Fiducial_0.75mm_Mask2.25mm";6;"Fiducial";;;
8;"C2,C3,C1";"CAP_0603_1UF";3;"1UF";;;
9;"R3";"RES_0805_10K";1;"10K";;;
10;"D1";"LED_0805_BLUE";1;"BLUE";;;
11;"J1";"SAO_CONN6_D03-ST-BK_SUL";1;"SAO";;;
12;"U1";"ESP32-C3-MINI-1-N4";1;"ESP32-C3-MINI-1-N4";;;
13;"U3";"MCP1700_LDO";1;"MCP1700T-3302E/MB";;;
14;"TP1";"SolderWirePad_1x01_SMD_1x2mm";1;"TestPoint";;;
15;"IC1";"HT16K33A-24SOP";1;"HT16K33";;;
16;"R5,R4";"0603";2;"2K2";;;
17;"C5";"CAP_0603_10UF";1;"10UF";;;
18;"C4";"CAP_0603_0.1UF";1;"0.1UF";;;
